type,category,subject,topic,input,output,difficulty,language,source,dataset_tag
qna,language_foundation,vocabulary,verbs,"What does the word ""comprehend"" mean?","""Comprehend"" is a verb meaning to understand something fully. Example: It is hard to comprehend how large the universe is.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""conceal"" mean?","""Conceal"" is a verb meaning to hide something or keep it secret. Example: He tried to conceal his disappointment with a smile.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""concede"" mean?","""Concede"" is a verb meaning to admit, often reluctantly, that something is true, or to accept defeat. Example: The candidate conceded the election late on Tuesday night.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""confine"" mean?","""Confine"" is a verb meaning to keep someone or something within certain limits or in a closed space. Example: Please confine your answer to the question asked.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""consult"" mean?","""Consult"" is a verb meaning to go to a person or source for information or advice. Example: You should consult a doctor if the pain continues.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""contemplate"" mean?","""Contemplate"" is a verb meaning to think carefully about something for a long time, or to consider doing something. Example: He contemplated moving abroad after graduating.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""contribute"" mean?","""Contribute"" is a verb meaning to give something, such as money, time, or ideas, to help achieve a result. Example: Everyone contributed a dish to the class party.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""convey"" mean?","""Convey"" is a verb meaning to communicate an idea, feeling, or message, or to carry something from one place to another. Example: Her smile conveyed how happy she was.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""criticize"" mean?","""Criticize"" is a verb meaning to say what you think is wrong or bad about someone or something. Example: The film was criticized for being too long.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""deceive"" mean?","""Deceive"" is a verb meaning to make someone believe something that is not true. Example: The advertisement deceived customers about the product's price.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""dedicate"" mean?","""Dedicate"" is a verb meaning to give a lot of time and effort to a particular task or purpose. Example: She dedicated her life to helping homeless families.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""deduce"" mean?","""Deduce"" is a verb meaning to reach a conclusion by reasoning from the available facts. Example: From the muddy boots, he deduced that she had been walking outside.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""defer"" mean?","""Defer"" is a verb meaning to delay something until a later time, or to accept someone else's opinion out of respect. Example: The meeting was deferred until next month.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""delegate"" mean?","""Delegate"" is a verb meaning to give part of your work or responsibility to someone else. Example: A good manager knows how to delegate tasks to the team.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""demolish"" mean?","""Demolish"" is a verb meaning to completely destroy a building or structure, or to prove an argument wrong. Example: The old factory was demolished to make room for a park.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""deprive"" mean?","""Deprive"" is a verb meaning to take something important away from someone or prevent them from having it. Example: Lack of sleep can deprive your brain of the rest it needs.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""deteriorate"" mean?","""Deteriorate"" is a verb meaning to become gradually worse. Example: The weather deteriorated as the day went on.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""deviate"" mean?","""Deviate"" is a verb meaning to move away from the usual or planned course, rule, or behavior. Example: The pilot had to deviate from the flight path to avoid the storm.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""diminish"" mean?","""Diminish"" is a verb meaning to become or make something smaller or less important. Example: The pain diminished after she took the medicine.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""disclose"" mean?","""Disclose"" is a verb meaning to make information known, especially something that was secret. Example: The company refused to disclose how much it paid for the building.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""discourage"" mean?","""Discourage"" is a verb meaning to make someone less confident or less willing to do something. Example: Don't let one bad result discourage you.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""dismiss"" mean?","""Dismiss"" is a verb meaning to decide that something is not important or worth considering, or to remove someone from a job. Example: He dismissed the idea as unrealistic.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""disrupt"" mean?","""Disrupt"" is a verb meaning to interrupt or disturb an activity, system, or process. Example: The strike disrupted train services across the country.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""distinguish"" mean?","""Distinguish"" is a verb meaning to recognize or show the difference between two or more things. Example: Can you distinguish between the two identical twins?",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""donate"" mean?","""Donate"" is a verb meaning to give money, goods, or blood to help a person or organization. Example: They donated their old clothes to charity.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""elaborate"" mean?","""Elaborate"" is a verb meaning to add more detail or explanation to something already said. Example: Could you elaborate on your plan?",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""eliminate"" mean?","""Eliminate"" is a verb meaning to remove or get rid of something completely. Example: The new software eliminated most of the errors.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""emerge"" mean?","""Emerge"" is a verb meaning to come out into view, or to become known. Example: The sun emerged from behind the clouds.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""emphasize"" mean?","""Emphasize"" is a verb meaning to give special importance or attention to something. Example: The coach emphasized the need for teamwork.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""encounter"" mean?","""Encounter"" is a verb meaning to meet or experience something, often something unexpected or difficult. Example: We encountered a few problems during the trip.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""endure"" mean?","""Endure"" is a verb meaning to suffer something painful or difficult patiently, or to continue to exist. Example: The soldiers endured freezing temperatures for weeks.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""enhance"" mean?","""Enhance"" is a verb meaning to improve the quality, value, or strength of something. Example: Good lighting can enhance the look of a room.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""evaluate"" mean?","""Evaluate"" is a verb meaning to judge the quality, value, or importance of something after careful thought. Example: The committee will evaluate each application.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""exaggerate"" mean?","""Exaggerate"" is a verb meaning to describe something as larger, better, or worse than it really is. Example: He exaggerated when he said the fish was as big as a car.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""exceed"" mean?","""Exceed"" is a verb meaning to be greater than a particular number or amount, or to go beyond a limit. Example: The cost of the project exceeded the budget.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""exclude"" mean?","""Exclude"" is a verb meaning to deliberately leave someone or something out. Example: The price excludes delivery charges.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""exhaust"" mean?","""Exhaust"" is a verb meaning to make someone extremely tired, or to use something up completely. Example: The long hike exhausted the children.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""expand"" mean?","""Expand"" is a verb meaning to become larger or to make something larger. Example: The company plans to expand into new markets.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""facilitate"" mean?","""Facilitate"" is a verb meaning to make an action or process easier. Example: The new road will facilitate trade between the two towns.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""fluctuate"" mean?","""Fluctuate"" is a verb meaning to change frequently in level, amount, or value. Example: Vegetable prices fluctuate throughout the year.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""forbid"" mean?","""Forbid"" is a verb meaning to order someone not to do something. Example: The rules forbid swimming in the lake.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""generate"" mean?","""Generate"" is a verb meaning to produce or create something. Example: The campaign generated a lot of public interest.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""hesitate"" mean?","""Hesitate"" is a verb meaning to pause before doing or saying something, often because you are uncertain. Example: Don't hesitate to ask if you need help.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""highlight"" mean?","""Highlight"" is a verb meaning to draw special attention to something. Example: The report highlights the need for better roads.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""hinder"" mean?","""Hinder"" is a verb meaning to make it difficult for someone to do something or for something to happen. Example: Heavy rain hindered the rescue efforts.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""ignore"" mean?","""Ignore"" is a verb meaning to deliberately pay no attention to someone or something. Example: She ignored the noise and kept reading.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""illustrate"" mean?","""Illustrate"" is a verb meaning to explain or make something clearer using examples or pictures. Example: The teacher used a story to illustrate her point.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""imitate"" mean?","""Imitate"" is a verb meaning to copy someone's behavior, speech, or appearance. Example: Children often imitate their parents.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""implement"" mean?","""Implement"" is a verb meaning to put a plan, decision, or system into action. Example: The city implemented a new recycling program.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""imply"" mean?","""Imply"" is a verb meaning to suggest something without saying it directly. Example: Are you implying that I was lying?",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""impose"" mean?","""Impose"" is a verb meaning to officially force a rule, tax, or punishment on people. Example: The government imposed a new tax on sugary drinks.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""infer"" mean?","""Infer"" is a verb meaning to form an opinion or reach a conclusion from evidence rather than from direct statements. Example: From her tone, I inferred that she was annoyed.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""inhibit"" mean?","""Inhibit"" is a verb meaning to slow down, prevent, or restrict an action or process. Example: Fear can inhibit people from speaking up.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""initiate"" mean?","""Initiate"" is a verb meaning to cause something to begin. Example: The school initiated a new reading program.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""inquire"" mean?","""Inquire"" is a verb meaning to ask for information about something. Example: I called to inquire about the job opening.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""insist"" mean?","""Insist"" is a verb meaning to demand something firmly or to state something forcefully, refusing to accept refusal. Example: She insisted on paying for dinner.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""inspire"" mean?","""Inspire"" is a verb meaning to fill someone with the desire or confidence to do something. Example: Her speech inspired many students to volunteer.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""integrate"" mean?","""Integrate"" is a verb meaning to combine parts into a whole, or to become part of a group or society. Example: The app integrates your calendar and your email.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""interrupt"" mean?","""Interrupt"" is a verb meaning to stop someone while they are speaking or doing something. Example: Please don't interrupt me while I'm talking.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""investigate"" mean?","""Investigate"" is a verb meaning to examine the facts about something carefully in order to discover the truth. Example: The police are investigating the robbery.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""justify"" mean?","""Justify"" is a verb meaning to show or prove that something is right or reasonable. Example: How can you justify spending so much money?",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""maintain"" mean?","""Maintain"" is a verb meaning to keep something in good condition or at the same level. Example: It is important to maintain a healthy weight.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""manipulate"" mean?","""Manipulate"" is a verb meaning to control or influence someone or something cleverly and often unfairly. Example: He manipulated his friends into doing his work for him.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""mediate"" mean?","""Mediate"" is a verb meaning to help two sides in a disagreement reach an agreement. Example: A neutral judge was asked to mediate the dispute.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""modify"" mean?","""Modify"" is a verb meaning to change something slightly, usually to improve it. Example: We modified the recipe to use less sugar.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""neglect"" mean?","""Neglect"" is a verb meaning to fail to give proper care or attention to someone or something. Example: He neglected his garden, and the plants died.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""negotiate"" mean?","""Negotiate"" is a verb meaning to discuss something in order to reach an agreement. Example: They negotiated a lower price for the car.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""nurture"" mean?","""Nurture"" is a verb meaning to care for and encourage the growth or development of someone or something. Example: Good teachers nurture their students' curiosity.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""obtain"" mean?","""Obtain"" is a verb meaning to get something, especially through effort. Example: You must obtain a permit before building a garage.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""oppose"" mean?","""Oppose"" is a verb meaning to disagree with and try to stop or change something. Example: Many residents opposed the new airport.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""overcome"" mean?","""Overcome"" is a verb meaning to successfully deal with or defeat a problem or difficulty. Example: She overcame her fear of flying.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""overlook"" mean?","""Overlook"" is a verb meaning to fail to notice something, or to have a view of something from above. Example: It's easy to overlook small spelling mistakes.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""persuade"" mean?","""Persuade"" is a verb meaning to make someone agree to do or believe something by giving good reasons. Example: He persuaded his parents to let him go on the trip.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""postpone"" mean?","""Postpone"" is a verb meaning to delay an event and arrange for it to happen later. Example: The match was postponed because of rain.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""precede"" mean?","""Precede"" is a verb meaning to happen or exist before something else. Example: A short speech preceded the award ceremony.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""predict"" mean?","""Predict"" is a verb meaning to say that something will happen in the future. Example: Experts predict that prices will rise next year.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""preserve"" mean?","""Preserve"" is a verb meaning to keep something in its original state or protect it from harm or decay. Example: The museum preserves ancient manuscripts.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""prevail"" mean?","""Prevail"" is a verb meaning to win or prove stronger in the end, or to be common in a particular place. Example: In the end, common sense prevailed.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""prohibit"" mean?","""Prohibit"" is a verb meaning to officially forbid something by law or a rule. Example: Smoking is prohibited inside the building.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""provoke"" mean?","""Provoke"" is a verb meaning to cause a strong reaction, especially anger, or to deliberately annoy someone. Example: His comments provoked an angry response.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""pursue"" mean?","""Pursue"" is a verb meaning to follow or chase someone, or to try to achieve something over time. Example: She plans to pursue a career in medicine.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""recommend"" mean?","""Recommend"" is a verb meaning to suggest that someone or something is good or suitable. Example: Can you recommend a good restaurant nearby?",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""reconcile"" mean?","""Reconcile"" is a verb meaning to restore friendly relations between people, or to make two ideas or facts consistent. Example: The brothers finally reconciled after years of arguing.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""refine"" mean?","""Refine"" is a verb meaning to improve something by making small changes, or to remove impurities from a substance. Example: She refined her essay after getting feedback.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""reinforce"" mean?","""Reinforce"" is a verb meaning to make something stronger or more certain. Example: Practice reinforces what you learn in class.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""reject"" mean?","""Reject"" is a verb meaning to refuse to accept, believe, or consider something. Example: The editor rejected the article.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""relinquish"" mean?","""Relinquish"" is a verb meaning to give up control, power, or possession of something, often unwillingly. Example: The king was forced to relinquish his throne.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""renovate"" mean?","""Renovate"" is a verb meaning to repair and improve an old building or room. Example: They renovated the kitchen last summer.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""resemble"" mean?","""Resemble"" is a verb meaning to look like or be similar to someone or something. Example: She closely resembles her grandmother.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""restrain"" mean?","""Restrain"" is a verb meaning to stop someone or something from doing something, often by force. Example: He had to restrain his dog from chasing the cat.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""retain"" mean?","""Retain"" is a verb meaning to keep or continue to have something. Example: Clay soil retains water well.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""retrieve"" mean?","""Retrieve"" is a verb meaning to get something back, especially from a place where it was left or stored. Example: I need to retrieve my coat from the cloakroom.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""reveal"" mean?","""Reveal"" is a verb meaning to make something known that was secret or hidden. Example: The magician never reveals his tricks.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""scrutinize"" mean?","""Scrutinize"" is a verb meaning to examine something very carefully and in detail. Example: The lawyer scrutinized every line of the contract.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""speculate"" mean?","""Speculate"" is a verb meaning to form ideas or guesses about something without firm evidence. Example: Fans speculated about who would win the award.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""stimulate"" mean?","""Stimulate"" is a verb meaning to encourage something to grow, develop, or become more active. Example: Lower taxes may stimulate the economy.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""substitute"" mean?","""Substitute"" is a verb meaning to use something or someone in place of another. Example: You can substitute honey for sugar in this recipe.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""suppress"" mean?","""Suppress"" is a verb meaning to stop something from being seen, expressed, or continuing. Example: She tried to suppress a laugh during the meeting.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""surpass"" mean?","""Surpass"" is a verb meaning to be better or greater than something or someone. Example: The results surpassed all our expectations.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""sustain"" mean?","""Sustain"" is a verb meaning to keep something going over time, or to suffer an injury or loss. Example: The company cannot sustain such high losses.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""tolerate"" mean?","""Tolerate"" is a verb meaning to accept or allow something unpleasant or different without complaining. Example: I can't tolerate loud music late at night.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""undermine"" mean?","""Undermine"" is a verb meaning to gradually weaken or damage something, especially confidence or authority. Example: Constant criticism can undermine a person's confidence.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""utilize"" mean?","""Utilize"" is a verb meaning to make practical use of something. Example: The factory utilizes solar power.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""verify"" mean?","""Verify"" is a verb meaning to check or prove that something is true or correct. Example: Please verify your email address.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""withdraw"" mean?","""Withdraw"" is a verb meaning to take something out or back, or to stop taking part in something. Example: I need to withdraw some cash from the bank.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""abundant"" mean?","""Abundant"" is an adjective meaning existing in large quantities; more than enough. Example: The region has abundant supplies of fresh water.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""accurate"" mean?","""Accurate"" is an adjective meaning correct and exact, without errors. Example: The weather forecast was surprisingly accurate.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""adequate"" mean?","""Adequate"" is an adjective meaning good enough or sufficient for a particular purpose. Example: Make sure you get adequate sleep before the exam.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""affluent"" mean?","""Affluent"" is an adjective meaning wealthy; having a lot of money. Example: They live in an affluent neighborhood with large houses.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""ambiguous"" mean?","""Ambiguous"" is an adjective meaning having more than one possible meaning, and therefore unclear. Example: The instructions were ambiguous, so everyone did something different.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""ambitious"" mean?","""Ambitious"" is an adjective meaning having a strong desire to succeed, or requiring great effort to achieve. Example: She is ambitious and wants to run her own company one day.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""ample"" mean?","""Ample"" is an adjective meaning more than enough. Example: There is ample parking behind the building.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""anxious"" mean?","""Anxious"" is an adjective meaning worried or nervous about something that might happen. Example: He felt anxious before his job interview.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""apparent"" mean?","""Apparent"" is an adjective meaning clearly seen or understood; seeming real or true. Example: It soon became apparent that we were lost.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""arrogant"" mean?","""Arrogant"" is an adjective meaning behaving as if you are more important or better than other people. Example: His arrogant attitude annoyed his teammates.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""authentic"" mean?","""Authentic"" is an adjective meaning real or genuine, not a copy or imitation. Example: The restaurant serves authentic Italian food.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""benevolent"" mean?","""Benevolent"" is an adjective meaning kind, generous, and wanting to help others. Example: A benevolent donor paid for the new library.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""blunt"" mean?","""Blunt"" is an adjective meaning saying what you think directly, without trying to be polite; or not sharp. Example: To be blunt, your essay needs a lot of work.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""candid"" mean?","""Candid"" is an adjective meaning honest and direct, even when the truth is uncomfortable. Example: She gave a candid interview about her struggles.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""cautious"" mean?","""Cautious"" is an adjective meaning careful to avoid risks or danger. Example: Be cautious when driving on icy roads.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""compassionate"" mean?","""Compassionate"" is an adjective meaning showing sympathy and concern for the suffering of others. Example: The nurse was compassionate and patient with every patient.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,adjectives,"What does the word ""competent"" mean?","""Competent"" is an adjective meaning having the skills or knowledge to do something well enough. Example: We need a competent electrician to fix this.",intermediate,en,facts_yaml,facts
